run,clean,aug,reg,best_val_accuracy,best_val_macro_f1,neutral_f1,best_epoch,path
outputs_352_c0_none_base,off,none,base,0.750000,0.647468,0.431655,4,outputs_352_c0_none_base
outputs_352_c0_none_ls,off,none,ls,0.746250,0.630899,0.393443,4,outputs_352_c0_none_ls
outputs_352_c0_none_md,off,none,md,0.752500,0.647629,0.414815,6,outputs_352_c0_none_md
outputs_352_c0_none_rdrop,off,none,rdrop,0.757500,0.644933,0.400000,2,outputs_352_c0_none_rdrop
outputs_352_c0_strong_base,off,strong,base,0.750000,0.635676,0.386555,3,outputs_352_c0_strong_base
outputs_352_c0_strong_ls,off,strong,ls,0.743750,0.642752,0.428571,3,outputs_352_c0_strong_ls
outputs_352_c0_strong_md,off,strong,md,0.748750,0.639407,0.417910,3,outputs_352_c0_strong_md
outputs_352_c0_strong_rdrop,off,strong,rdrop,0.760000,0.641069,0.396947,3,outputs_352_c0_strong_rdrop
outputs_352_c0_weak_base,off,weak,base,0.746250,0.627481,0.366412,5,outputs_352_c0_weak_base
outputs_352_c0_weak_ls,off,weak,ls,0.747500,0.638617,0.402878,5,outputs_352_c0_weak_ls
outputs_352_c0_weak_md,off,weak,md,0.746250,0.640078,0.411348,6,outputs_352_c0_weak_md
outputs_352_c0_weak_rdrop,off,weak,rdrop,0.753750,0.652249,0.441379,2,outputs_352_c0_weak_rdrop
outputs_352_c1_none_base,on,none,base,0.740000,0.634695,0.407080,2,outputs_352_c1_none_base
outputs_352_c1_none_ls,on,none,ls,0.751250,0.649546,0.439394,4,outputs_352_c1_none_ls
outputs_352_c1_none_md,on,none,md,0.752500,0.651829,0.446281,2,outputs_352_c1_none_md
outputs_352_c1_none_rdrop,on,none,rdrop,0.746250,0.629067,0.396694,4,outputs_352_c1_none_rdrop
outputs_352_c1_strong_base,on,strong,base,0.746250,0.627367,0.377953,5,outputs_352_c1_strong_base
outputs_352_c1_strong_ls,on,strong,ls,0.731250,0.597874,0.330435,3,outputs_352_c1_strong_ls
outputs_352_c1_strong_md,on,strong,md,0.733750,0.604506,0.325581,2,outputs_352_c1_strong_md
outputs_352_c1_strong_rdrop,on,strong,rdrop,0.738750,0.594081,0.304762,2,outputs_352_c1_strong_rdrop
outputs_352_c1_weak_base,on,weak,base,0.745000,0.635882,0.385714,5,outputs_352_c1_weak_base
outputs_352_c1_weak_ls,on,weak,ls,0.735000,0.618493,0.363636,4,outputs_352_c1_weak_ls
outputs_352_c1_weak_md,on,weak,md,0.743750,0.630776,0.393443,4,outputs_352_c1_weak_md
outputs_352_c1_weak_rdrop,on,weak,rdrop,0.750000,0.650649,0.429530,3,outputs_352_c1_weak_rdrop
outputs_352_summary,,352,summary,,,,,outputs_352_summary
